Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team A - Player 3,Team B - Player 1,Team B - Player 2,Team B - Player 3
Pool Play,Premier 5.0+,Pool G,2,Single game,Profit Boost,Goblin giant,Profit Boost,22,20,,,,,Justin Shaytar,Kieran Rose,,Kyan Kornfeld,Nickhil Anantha,
Pool Play,Premier 5.0+,Pool G,2,Single game,Jersey Boyz,Last Place,Jersey Boyz,21,17,,,,,Corey Weiss,Matt Spolarich,,Ben Arauzo,Zayne Shields,
Pool Play,Premier 5.0+,Pool H,2,Single game,Lazy,Royal Flush,Lazy,21,17,,,,,Luke Marshall,Cade Larson,,Bryant Karratti,Jake LeBaron,
Pool Play,Premier 5.0+,Pool H,2,Single game,Sawtooth Spikers,Charlie and the Chocolate Factory,Sawtooth Spikers,21,19,,,,,Thomas Maloney,Dennis Joseph,,David Mitchell,Charlie Camarena,
Pool Play,Premier 5.0+,Pool I,2,Single game,"Depression, Cheez-Its, and Cargo Shorts",Hit Ball Hard,"Depression, Cheez-Its, and Cargo Shorts",21,16,,,,,Taylor Church,Garrett Carver,,Adam Porter,Garrett Ashton,
Pool Play,Premier 5.0+,Pool I,2,Single game,Big Dawgs,"Happenstance ",Big Dawgs,21,7,,,,,Caleb Cummings,Tyler Fernandez,,Jalen Butkus,John Hickmott,
Pool Play,Premier 5.0+,Pool J,2,Single game,Chelsea United,Disordered,Chelsea United,25,23,,,,,Josh Fragiacomo,Ethan Zehr,,Solomon Berry,Andrew Greer,
Pool Play,Premier 5.0+,Pool J,2,Single game,BorderLine,Couldn't Carry less,BorderLine,21,18,,,,,Kaleb Wagner,Trey Thompson,,Slade Warner,Arrow Griner,
Pool Play,Premier 5.0+,Pool A,3,Single game,Judgment Day,Bad Combo,Judgment Day,21,19,,,,,fredric hinkle,Gabriel Finocchi,,Rahul Murthy,Will Picone,
Pool Play,Premier 5.0+,Pool A,3,Single game,TRP Mermaid Sparkle,Morgan/Mowry,TRP Mermaid Sparkle,21,18,,,,,Noah Luskus,Christian Bennett,,Dawson Morgan,Luke Mowry,
Pool Play,Premier 5.0+,Pool B,3,Single game,Assistive Touch,TRP Spotless,TRP Spotless,15,21,,,,,Clark Marshall,Buddy Hammon,,Joe Bondi,Ryan Gross,
Pool Play,Premier 5.0+,Pool B,3,Single game,Insystem,Cigar Boys,Insystem,21,17,,,,,Blake Bosak,Etienne Cote,,Grant Laughlin,Dan Abrams,
Pool Play,Premier 5.0+,Pool C,3,Single game,TRP Moneyline,Edgerunners,TRP Moneyline,21,13,,,,,Ryder Rivadeneyra,Matthew Cole,,Chase Meyer,Clifton Miller,
Pool Play,Premier 5.0+,Pool C,3,Single game,here to slay,Lanky and Clanky,Lanky and Clanky,17,21,,,,,Dax O'Hair,bradley thompson,,Grant Gouger,Jesse Lehn,
Pool Play,Premier 5.0+,Pool D,3,Single game,Not.Ok,Native Texans,Not.Ok,21,15,,,,,Xande Plaisted,Anthony Clifford,,Dylan Bricker,Grayson M  Wills,
Pool Play,Premier 5.0+,Pool D,3,Single game,Hot‘n‘cold,Moon Boys,Moon Boys,15,21,,,,,Trent Alderfer,Cody Brower,,Jordan Freitas,Conner Bradshaw,
Pool Play,Premier 5.0+,Pool E,3,Single game,Quality Service,NK.,Quality Service,21,16,,,,,Jacob Payer,Andrew Kosche,,kevin um,Nick Wideman,
Pool Play,Premier 5.0+,Pool E,3,Single game,BenDu Over,Teenage Dirtbags,BenDu Over,21,15,,,,,Michael Du,Benjamin Banuelos,,Taylor Sanford,Kannon Forbush,
Pool Play,Premier 5.0+,Pool F,3,Single game,WySpike Synergy,Ball Blasters,WySpike Synergy,25,24,,,,,Matthew Burrows,Nick Noguez,,David Gonzales,Rendall Weaver,
