Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team A - Player 3,Team B - Player 1,Team B - Player 2,Team B - Player 3
Pool Play,Contender 4.5+,Pool F,1,Single game,Tornado Cuts,Pulchritudinous Callipygians,Tornado Cuts,21,19,,,,,Ethan Gabay,John Putney,,Collin Wickramaratna,Nate Kunz,
Pool Play,Contender 4.5+,Pool F,1,Single game,Indecisive,Sons of Kenneth,Sons of Kenneth,18,21,,,,,DaRyan Hoover,Micah Wipf,,Lance Martin,Drew Martin,
Pool Play,Contender 4.5+,Pool G,1,Single game,TNT 🧨,Hit It And Quit It,TNT 🧨,21,12,,,,,Zachary Troyer,Thomas Troyer,,Eric Bartos,Jonathon Neel,
Pool Play,Contender 4.5+,Pool G,1,Single game,"Blind Squirrel ",Brezra,"Blind Squirrel ",22,20,,,,,Keith Fleischmann,Caleb Isbell,,Brendan Muggeridge,Ezra Campanelli,
Pool Play,Contender 4.5+,Pool H,1,Single game,Green text messages,Ball Busters,Green text messages,21,9,,,,,Andrew Felty,Nic Albornoz,,Jacob Ford,Ryan Poeppelman,
Pool Play,Contender 4.5+,Pool H,1,Single game,Narayan/Pinsonneault,Spike’s Hard Lemonade,Narayan/Pinsonneault,21,6,,,,,Macy Pinsonneault,Jacob Narayan,,Tyler Bishop,Malachi Fruits,
Pool Play,Contender 4.5+,Pool H,1,Single game,Zorbin,MaxRizz,Zorbin,21,11,,,,,Korbin Thompson,Zach M,,Caleb Schilling,Josh Schilling,
Pool Play,Contender 4.5+,Pool A,2,Single game,Closed on Sundays,Blondeberry Fwango,Closed on Sundays,21,6,,,,,Brooks Anderson,Ian Timan,,David Aschenbrenner,Matt Aschenbrenner,
Pool Play,Contender 4.5+,Pool A,2,Single game,Textbook,Snow Angels,Textbook,21,18,,,,,Mike Hamilton,dan savage,,Mason Weaver,Jacob Pogan,
Pool Play,Contender 4.5+,Pool B,2,Single game,What the flick?,Deep Dive,What the flick?,21,19,,,,,Joren Rudzitis,Taaron Rudzitis,,Hayden Carlson,Maciah Aldrich,
Pool Play,Contender 4.5+,Pool B,2,Single game,Martinumerable,The Cutlers,The Cutlers,24,25,,,,,Marty Merigold,Jason Inumerable,,Seth Cutler,Russell Cutler,
Pool Play,Contender 4.5+,Pool C,2,Single game,1more,Rotato Potato,1more,21,16,,,,,Zak Kovatch,ty fields,,Jonathan Saysamone,Charlie Freeman,
