Year,Date,For Model Use,Type,URL identifier,full URL,Scraped?,Fwango File Title,Open Division 1,Open Division 2,Open Division 3,Women Division 1,Women Division 2,tourney
2023,7/15/2023,X,Challenger,nashvillecup2023,https://fwango.io/nashvillecup2023,Manual Download,Nashville Cup - Spikeball Challenger 2023 - Match results,Premier (5.0),NA,NA,Women's Advanced 4.0+,NA,NASHVILLECUP2023
2023,7/22/2023,X,Major,philadelphia2023,https://fwango.io/philadelphia2023,Manual Download,The Philadelphia Major 2023 - Match results,Premier 5.0+,Contender 4.5+,NA,Women's Advanced 4.0+,NA,PHILADELPHIA2023
2023,7/29/2023,X,Challenger,heatwavevi,https://fwango.io/heatwavevi,Manual Download,HeatWave Classic VI - Spikeball Challenger 2023 - Match results,Premier 5.0,NA,NA,Women's 4.0,NA,HEATWAVEVI
2023,7/29/2023,X,Challenger,ers23md,https://fwango.io/ers23md,Manual Download,The Maryland Monumental _ Spikeball Challenger 2023 _ DAY 1 - Match results,5.0+ Premier (Open),NA,NA,4.0+ Women's Advanced,NA,ERS23MD
2023,7/29/2023,X,USAR Sanctioned,crete23,https://fwango.io/crete23,Manual Download,Crete Open - Match results,Expert(4.5),NA,NA,NA,NA,CRETE23
2023,8/5/2023,X,USAR Sanctioned,open4,https://fwango.io/open4,Manual Download,San Jose Open #2 -California Roundnet - Match results,Expert 5.0,NA,NA,NA,NA,OPEN4
2023,8/5/2023,X,Challenger,thepeopleschampionship,https://fwango.io/thepeopleschampionship,Manual Download,BANG! - Spikeball Challenger 2023 - Match results,Premier,NA,NA,Womens,NA,THEPEOPLESCHAMPIONSHIP
2023,8/12/2023,X,Major,columbus2023,https://fwango.io/columbus2023,Manual Download,The Columbus Major 2023 - Match results,Premier 5.0+,Contender 4.5+,NA,Women's Advanced 4.0+,NA,COLUMBUS2023
2023,8/19/2023,X,Challenger,ers23ct,https://fwango.io/ers23ct,Manual Download,Ethan Song Roundnet Tournament _ Spikeball Challenger 2023 - Match results,5.0+ Premier (Open),NA,NA,NA,NA,ERS23CT
2023,8/26/2023,X,USAR Sanctioned,evanston23,https://fwango.io/evanston23,Manual Download,Illinois Roundnet State Championship - Match results,Expert(4.5),NA,NA,NA,NA,EVANSTON23
2023,9/2/2023,X,USAR Sanctioned,fra23-major3,https://fwango.io/fra23-major3,Manual Download,Florida Roundnet Major #3 - Gainesville - Match results,Open 5.0 (Expert),NA,NA,NA,NA,FRA23-MAJOR3
2023,9/16/2023,X,USAR Sanctioned,ers23alb,https://fwango.io/ers23alb,Manual Download,Smoothie King Cup — East Roundnet Series 2023 — Albany Minor - Match results,Open 4.5+,NA,NA,NA,NA,ERS23ALB
2023,9/29/2023,X,Championship,championship2023,https://fwango.io/championship2023,Manual Download,The Championship 2023 - Match results,Open Pro,Premier 5.0+,Contender 4.5+,Women's Pro,Women's Advanced 4.0+,CHAMPIONSHIP2023
2023,10/14/2023,X,USAR Sanctioned,sodden,https://fwango.io/sodden,Manual Download,California Roundnet San Diego Open #5 - Match results,Expert 5.0,NA,NA,Women's 4.0+,NA,SODDEN
2023,10/21/2023,X,USAR Sanctioned,fl-states23,https://fwango.io/fl-states23,Manual Download,Florida Roundnet - 2023 State Championship - Match results,Open 5.0 (Expert),NA,NA,NA,NA,FL-STATES23
2023,10/28/2023,X,USAR Sanctioned,regionals,https://fwango.io/regionals,Manual Download,San Luis Obispo Regionals - California Roundnet - Match results,Expert 5.0,NA,NA,Womens 4.0+,NA,REGIONALS
2023,11/11/2023,X,USAR Sanctioned,usar2023nationals,https://fwango.io/usar2023nationals,Manual Download,USA Roundnet Nationals - Match results,5.0+ Men's Pro,NA,NA,4.5+ Women's Pro,NA,USAR2023NATIONALS
2023,12/2/2023,X,USAR Sanctioned,californiastatefinals,https://fwango.io/californiastatefinals,Manual Download,California State Finals 2023 - Match Results,Expert 5.0,NA,NA,Womens 4.0+,NA,CALIFORNIASTATEFINALS
2023,12/2/2023,X,USAR Sanctioned,texasnationals2023,https://fwango.io/texasnationals2023,Manual Download,TASR Texas Nationals - Match results,Gold 5.0,NA,NA,NA,NA,TEXASNATIONALS2023
2023,12/16/2023,X,USAR Sanctioned,ers23xmas,https://fwango.io/ers23xmas,Manual Download,Christmas Classic VII - ERS Championship - Match results,4.5+ Open,NA,NA,Women's Advanced,NA,ERS23XMAS
2024,2/17/2024,X,USAR Sanctioned,waco2024,https://fwango.io/usar2024west,Manual Download,2024 Waco TASR Major - Match results,Gold 5.0,NA,NA,NA,NA,WACO2024
2024,2/24/2024,X,USAR Sanctioned,usar2024west,https://fwango.io/usar2024west,Manual Download,USAR West Regionals Hosted by California Roundnet - Match results,5.0+ Men's,4.0 Open,NA,4.5+ Women's,NA,USAR2024WEST
